alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,alim_grp_nom_eng,alim_ssgrp_nom_eng,alim_ssssgrp_nom_eng,FoodID,FoodName,alim_nom_sci,"Energy,Regulation EU No 1169/2011 (kJ/100g)",energy_kcal,"Energy,N x Jones' factor,with fibres (kJ/100g)","Energy,N x Jones' factor,with fibres (kcal/100g)",Water (g/100g),Protein_g_100g,"Protein,crude,N x 6.25 (g/100g)",Carbs_g_100g,Fat_g_100g,Sugars (g/100g),fructose (g/100g),galactose (g/100g),glucose (g/100g),lactose (g/100g),maltose (g/100g),sucrose (g/100g),Starch (g/100g),Fiber_g_100g,Polyols (g/100g),Ash (g/100g),Alcohol (g/100g),Organic acids (g/100g),FA saturated (g/100g),FA mono (g/100g),FA poly (g/100g),FA 4:0 (g/100g),FA 6:0 (g/100g),FA 8:0 (g/100g),FA 10:0 (g/100g),FA 12:0 (g/100g),FA 14:0 (g/100g),FA 16:0 (g/100g),FA 18:0 (g/100g),FA 18:1 n-9 cis (g/100g),"FA 18:2 9c,12c (n-6) (g/100g)","FA 18:3 c9,c12,c15 (n-3) (g/100g)","FA 20:4 5c,8c,11c,14c (n-6) (g/100g)","FA 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","FA 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholesterol (mg/100g),Salt_g_100g,Calcium (mg/100g),Chloride (mg/100g),Copper (mg/100g),Iron (mg/100g),Iodine (µg/100g),Magnesium (mg/100g),Manganese (mg/100g),Phosphorus (mg/100g),Potassium (mg/100g),Selenium (µg/100g),Sodium_mg_100g,Zinc (mg/100g),Retinol (µg/100g),Beta-carotene (µg/100g),Vitamin D (µg/100g),Vitamin E (mg/100g),Vitamin K1 (µg/100g),Vitamin K2 (µg/100g),Vitamin C (mg/100g),Vitamin B1 or Thiamin (mg/100g),Vitamin B2 or Riboflavin (mg/100g),Vitamin B3 or Niacin (mg/100g),Vitamin B5 or Pantothenic acid (mg/100g),Vitamin B6 (mg/100g),Vitamin B9 or Folate (µg/100g),Vitamin B12 (µg/100g),source,FoodDescription,FoodGroupName,"CARBOHYDRATE,TOTAL (BY DIFFERENCE)",ENERGY (KILOCALORIES),FAT (TOTAL LIPIDS),"FIBRE,TOTAL DIETARY",PROTEIN,SODIUM,score_aceptacion
0.0.0.0.0.0,0,0,0,24999,Desert (average),0,0,0,0.0,0.0,45.4,4.63,4.61,36.6,12.9,23.7,1.81,0.0,2.18,1.89,1.07,15.7,9.53,1.54,0.0,0.92,0.081,0.083,5.18,4.74,1.68,0.14,0.19,0.083,0.14,0.35,0.55,2.47,0.99,4.62,1.32,0.37,0.012,0.0041,0.0051,56.7,0.38,75.178,0.15,1.45,11.0,23.8,0.23,107.181,7.04,153.0,0.5,56.3,34.6,0.27,1.97,0.0,0.0,1.37,0.084,0.15,0.61,0.4,0.056,30.8,0.21,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,4.2,0.0,0.0,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,25601,"Prepared mixed tuna and vegetable salad,canned",0,-,-,0.0,0.0,76.5,9.15,9.15,7.74,4.7,3.08,0.82,0.0,0.78,0.0,0.3,0.97,4.1,2.7,0.0,1.79,0.0,0.0,0.56,1.83,1.76,0.05,0.05,0.05,0.05,0.05,0.008,0.38,0.12,0.0,1.15,0.056,0.0,0.008,0.039,19.2,1.11,20.7,731.0,0.1,1.1,2.0,25.1,0.1,88.4,232.0,0.0,445.0,0.6,2.0,0.0,0.5,1.6,0.0,0.0,2.75,0.04,0.053,4.45,0.16,0.29,31.0,1.45,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,4.5,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,25602,"Prepared mixed meat/fish canned,salad",0,-,-,0.0,0.0,76.7,8.06,8.06,6.4,5.3,1.9,0.7,0.0,0.6,0.2,0.2,0.6,3.3,2.0,0.0,1.5,0.0,0.0,0.16,3.27,1.54,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.04,2.24,1.08,0.28,0.016,0.016,0.15,15.2,0.95,22.584,0.07,0.7,20.2,0.1,0.0,0.38,21.781,0.44,2.04,9.75,0.0,0.0,0.032,0.022,4.13,0.2,0.12,11.1,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,25605,"Greek-style marinated mushrooms,prepacked",0,-,-,0.0,0.0,85.2,2.08,2.08,3.95,3.55,2.38,0.7,0.0,1.0,0.3,0.3,0.3,0.99,2.35,0.0,1.65,0.0,0.0,0.23,0.2,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.11,1.26,27.0,0.0,0.17,1.06,2.46,13.5,0.13,64.1,277.0,1.79,500.0,0.4,0.0,1.08,0.0,0.0,6.67,0.056,0.21,1.84,0.88,0.088,19.6,0.018,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,25606,"Prepared potatoes salad,home-made",0,-,-,0.0,0.0,76.0,2.68,2.68,9.9,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.95,0.0,0.0,1.43,2.48,3.74,0.0,0.0,0.0,0.0,0.011,0.013,1.03,0.37,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1.32,19.0,0.0,0.12,0.65,0.0,15.0,0.1,52.254,0.0,529.0,0.31,0.0,0.0,0.0,0.0,10.0,0.077,0.06,0.89,0.53,0.14,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,25608,"Tabbouleh,prepacked",0,753.179.753.179,60.3,4.88,4.88,23.7,6.7,4.9,2.0,0.2,1.5,0.2,1.4,0.2,17.7,2.5,0.9,1.52,0.0,0.38,0.67,4.23,1.45,0.01,0.01,0.01,0.01,0.01,0.01,0.47,0.15,3.95,1.1,0.34,0.01,0.01,0.01,0.1,0.0,0.16,0.88,20.25,0.4,80.21,20.399,0.65,0.0,1.26,10.6,0.0,6.27,0.087,0.024,0.5,0.26,0.052,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,25609,"Potato salad,piémontaise-style,prepacked",0,542.130.542.130,75.8,4.5,4.5,8.87,8.3,1.2,0.5,0.2,0.7,0.2,0.2,0.2,6.0,0.5,0.5,1.74,0.0,0.54,0.82,5.02,2.04,0.01,0.01,0.01,0.01,0.01,0.01,0.54,0.2,4.57,1.47,0.57,0.01,0.01,0.01,29.6,1.08,13.709,0.07,0.43,20.16,0.08,72.3,20.433,0.49,21.0,93.6,0.5,3.96,10.9,0.0,21.6,0.08,0.049,0.98,0.44,0.099,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,25614,"Prepared rice salad,canned",0,-,-,0.0,0.0,72.5,5.13,5.13,16.1,4.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,1.7,0.0,1.49,0.0,0.0,0.53,2.23,0.0,0.0,0.0,0.0,0.0,0.0042,0.0083,0.36,0.12,2.23,1.05,0.2,0.0,0.0,0.013,6.5,1.1,23.3,0.0,0.1,0.43,5.0,13.1,0.1,66.6,143.0,17.7,431.0,0.3,2.34,0.5,1.63,0.0,0.0,4.48,0.058,0.045,2.65,0.14,0.13,33.5,0.43,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,25615,"Prepared pasta salad,vegetarian",0,-,-,0.0,0.0,72.6,5.7,5.7,13.7,8.1,2.3,0.6,0.0,0.6,0.0,0.1,0.8,10.0,1.7,0.0,1.18,0.0,0.0,2.37,1.46,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.04,14.86,0.06,0.6,4.11,0.2,37.84,0.0,51.0,0.4,0.0,1.95,0.0,0.0,21.0,0.04,0.02,0.4,0.0,0.09,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,25616,"Salad,vegetable,without dressing (average)",0,125,29.9,125.0,29.9,93.2,0.94,0.94,3.07,0.7,2.27,1.12,0.0,1.02,0.085,0.085,0.58,0.22,1.51,0.29,0.69,0.0,0.094,0.12,0.29,0.095,0.0041,0.0041,0.0041,0.0041,0.0041,0.0037,0.12,0.0074,0.21,0.078,0.017,0.0043,0.0041,0.0041,0.076,0.031,25.1,44.9,0.048,0.42,7.21,11.7,0.17,25.6,241.0,7.79,12.5,0.17,0.017,1930.0,0.093,0.34,24.0,0.0,12.2,0.042,0.025,0.37,0.17,0.082,38.8,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,25619,"Prepared pasta salad,with vegetable,meat or fish,prepacked",0,-,-,0.0,0.0,70.5,5.19,5.19,14.0,9.94,2.16,1.04,0.0,0.86,0.0,0.28,0.26,7.92,1.98,0.0,1.4,0.0,0.0,1.74,5.85,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0098,11.3,0.95,19.492,0.085,0.95,3.13,23.3,0.15,69.4,193.0,5.3,378.0,0.53,11.494,0.12,1.18,0.0,0.0,12.3,0.064,0.057,1.77,0.28,0.14,18.4,0.14,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,25626,"Mixed diced vegetables salad,w sauce,prepacked",0,-,-,0.0,0.0,78.3,2.81,2.81,7.0,9.3,2.3,0.3,0.0,0.3,0.3,0.3,1.5,0.0,4.11,0.0,1.47,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,25628,"Caesar's salad (salad,chicken,croûtons,sauce),prepacked",0,-,-,0.0,0.0,71.8,8.13,8.13,4.88,10.0,1.71,0.6,0.0,0.51,0.2,0.6,0.2,3.17,2.0,0.0,1.54,0.0,1.66,2.36,4.99,2.09,0.08,0.05,0.03,0.06,0.08,0.26,1.26,0.41,4.6,1.7,0.39,0.01,0.01,0.01,40.7,0.75,100.483,0.11,0.5,20.19,0.15,150.3,20.301,0.69,27.9,627.0,0.25,2.24,32.0,0.0,1.11,0.096,0.068,2.29,0.47,0.094,29.3,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,25629,"Salad,veggie,bulgur and/or quinoa-based,with vegetables,prepacked",0,704.168.699.167,65.5,3.79,4.06,17.4,8.3,4.61,0.99,0.1,1.9,0.1,1.72,0.1,9.9,3.3,0.0,1.32,0.0,0.35,0.92,3.95,3.04,0.01,0.01,0.01,0.01,0.01,0.01,0.58,0.24,3.71,2.79,0.25,0.01,0.01,0.01,0.0,0.77,37.484,0.16,1.2,20.46,0.62,110.14,20.309,0.77,0.0,611.0,0.25,2.67,10.0,0.0,0.5,0.071,0.01,0.18,0.27,0.059,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,26257,"Grated carrots,w sauce,prepacked",0,-,-,0.0,0.0,84.7,0.98,0.98,6.01,5.0,5.2,0.54,0.0,0.77,0.2,0.23,3.2,0.0,3.64,0.0,1.3,0.0,0.0,0.43,2.53,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.24,0.0,0.0,0.0,0.0,0.67,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,26258,"Beetroot salad,w sauce,prepacked",0,-,-,0.0,0.0,83.5,1.29,1.29,7.45,4.94,5.3,0.46,0.0,0.5,0.051,0.1,4.29,0.0,2.66,0.0,1.34,0.0,0.0,0.37,1.79,1.9,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,21.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,26259,"Coleslaw,w sauce,prepacked",0,435.105.435.105,80.4,0.94,0.94,5.78,8.1,4.72,0.85,0.0,1.06,0.2,0.2,2.82,0.35,3.0,1.06,1.45,0.0,0.34,0.63,4.83,2.2,0.01,0.01,0.01,0.01,0.01,0.01,0.41,0.13,4.39,1.54,0.66,0.01,0.01,0.01,0.0,0.88,39.556,0.03,1.3,20.0,9.3,0.26,29.21,20.353,0.27,0.0,1340.0,0.25,2.21,23.0,0.0,21.6,0.026,0.01,0.1,0.21,0.093,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,26260,"Cucumber salad,w fresh cream cheese sauce,prepacked",0,-,-,0.0,0.0,0.0,1.1,1.1,1.97,11.3,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,1.07,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0.101.0.0.0,starters and dishes,mixed salads,-,26261,"Lentil salad w smoked sausage,prepacked",0,-,-,0.0,0.0,0.0,7.7,8.9,11.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.89,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
