source,FoodID,FoodName,Protein_g_100g,Fat_g_100g,Carbs_g_100g,Fiber_g_100g,Sodium_mg_100g
USDA,"flour,_rice,_brown","flour,_rice,_brown",7.19,3.85,75.5,0.0,1.0
USDA,chickpea_flour,chickpea_flour,16.7,5.0,70.0,16.7,0.0
USDA,yeast,yeast,40.44,7.61,41.22,26.9,51.0
USDA,cornstarch,cornstarch,0.26,0.05,91.3,0.9,9.0
USDA,xanthan_gum,xanthan_gum,0.0,0.0,125.0,0.0,3120.0
USDA,water,water,0.0,0.0,10.8,0.0,8.0
USDA,potato_flour,potato_flour,6.9,0.34,83.1,5.9,55.0
USDA,salt,salt,0.0,0.0,1330.0,0.0,39300.0
USDA,"egg_substitute,_powder","egg_substitute,_powder",55.5,13.0,21.8,0.0,800.0
USDA,sweet_manioc_starch,sweet_manioc_starch,0.0,0.0,85.0,0.0,0.0
USDA,rice_flour,rice_flour,7.69,0.0,80.8,0.0,0.0
USDA,"catsup,_low_sodium","catsup,_low_sodium",1.04,0.1,27.4,0.3,20.0
,,,36.6,1.81,23.7,0.92,0.27
,"raw""",,< 0.5,-,-,5.8,-
,"Clupea harengus (Linnaeus,1758)",676.162.676.162,< 0.3,-,< 0.3,5.51,4.53
,"Pleuronectes platessa (Linnaeus,1758)",393.93.393.93.78.19.19,0.0,0.0,-,-,-
,"Melanogrammus aeglefinus (Linnaeus,1758)",377.89.377.89,-,0.0,0.0,-,0.25
,"Pollachius virens (Linnaeus,1758)",423,traces,-,0.0,0.23,0.058
,"Microstomus kitt (Walbaum,1792)",380,traces,-,0.0,0.31,0.28
,"Scomber scombrus (Linnaeus,1758)",949.228.949.228,-,0.0,0.0,-,6.85
,"Melangius merlangus (Linnaeus,1758)",526.125.526.125,-,0.0,0.0,0.01,2.58
,"Gadus morhua morhua (Linnaeus,1758)",401,traces,-,0.0,0.19,2.41
,Mugil spp.,602.143.602.143,-,0.0,0.0,-,10
,Raja spp.,409,0.5,0.0,-,-,0.46
,"Scyliorhinus canicula (Linnaeus,1758)",1070.256.1070.256,-,0.0,0.0,-,-
